Latitude,Longitude,Location
18.9706,72.8327,A.H.ANSARI CHOWK (NAGPADA)
18.97027,72.83272,A.H.ANSARI CHOWK (NAGPADA)
18.97742,72.82403,AGRIPADA POLICE STATION
18.97351,72.81439,AIR CONDITION MARKET
18.95758,72.82698,ALANKAR CINEMA
18.96729,72.82735,MAHARASHTRA COLLEGE ALEXANDRA CINEMA
18.96177,72.82565,ANJUMAN COLLEGE
18.96165,72.82585,ANJUMAN COLLEGE
18.96417,72.84149,B.P.T COLONY (DOCKYARD RD)
18.96505,72.81297,BHATIA HOSPITAL
18.96436,72.81295,BHATIA HOSPITAL
18.97225,72.80495,BREACH CANDY HOSPITAL
18.97727,72.83217,BYCULLA STATION (W)
18.97665,72.83218,BYCULLA STATION (W)
18.9765,72.83204,BYCULLA STATION (W)
18.96976,72.83001,CHRIST CHURCH SCHOOL
18.96618,72.84448,DOCKYARD ROAD RAILWAY STATION
18.9714,72.84532,DARUKHANA
18.97163,72.84522,DARUKHANA
18.98537,72.84105,AZAD FLOUR MILL
18.99465,72.85389,GADI ADDA
18.99738,72.84036,MAHATMA GANDHI HOSPITAL (PAREL)
18.99781,72.84076,MAHATMA GANDHI HOSPITAL (PAREL)
18.98974,72.83461,GANESH TALKIES (LALBAUG)
18.98207,72.84284,GHODAPDEV
18.98827,72.83877,HAKOBA
19.01003,72.84243,HINDMATA CINEMA (PAREL)
19.00995,72.84207,HINDMATA CINEMA (PAREL)
19.0096,72.84182,HINDMATA CINEMA (PAREL)
18.97755,72.84696,HINDU CEMETARY(REAY ROAD)
18.99167,72.84767,JACKERIA BUNDER
18.98438,72.8365,JAIHIND CINEMA
18.98422,72.83598,JAIHIND CINEMA
18.97999,72.8341,JIJAMATA UDYAN (BYCULLA)
18.98068,72.83632,ROBERT GOMES CHOWK (BYCULLA-E)
19.00155,72.84076,K.E.M.HOSPITAL
19.00154,72.84075,K.E.M.HOSPITAL
18.98758,72.84153,SHRAWAN YASHWANTE CHOWK (KALA CHOWKY)
18.98797,72.84294,KALA CHOWKY POLICE STATION
18.99442,72.84432,MINT COLONY
19.00521,72.85002,T.B.HOSPITAL (KIDWAI NAGAR)
18.98058,72.85928,LAL BAHADUR SHASTRI COLLEGE
18.98062,72.85892,LAL BAHADUR SHASTRI COLLEGE
18.99172,72.83627,SANT JAGNADE CHOWK (LALBAUG)
18.9938,72.83625,SANT JAGNADE CHOWK (LALBAUG)
19.00439,72.84104,MADKEBUWA CHOWK (PAREL)
19.01188,72.85435,MADHAV NAGAR (WADALA-W)
19.01177,72.85455,MADHAV NAGAR (WADALA-W)
18.97625,72.83994,MUSTAFA BAZAR SAVLYA TANDEL CHOWK
19.00749,72.84717,NAIGAON POLICE COLONY
18.9982,72.85225,PRABODHANKAR THACKERAY UDYAN BUS STATION (SEWREE)
19.00222,72.83847,MADKEBUWA CHOWK (PAREL)
19.00061,72.84601,PAREL VILLAGE ST.GORA KUMBHAR CHOWK
18.97598,72.84421,REAY ROAD STATION
18.97654,72.84424,REAY ROAD STATION
18.96465,72.8055,PARSI DHARMASHALA OM CHAMBERS
18.96857,72.80365,PARSI GENERAL HOSPITAL
18.96176,72.82246,PLAY HOUSE
18.95803,72.82033,PRARTHANA SAMAJ
18.94972,72.79427,PREM NAGAR
18.95685,72.7995,PRIYADARSHINI PARK (NAPEAN SEA ROAD)
18.95737,72.81738,PT.PALUSKAR CHOWK (OPERA HOUSE)- MARWADI VIDYALAYA
18.96139,72.81993,RAILWAY HOTEL CHARNI ROAD JUNCTION
18.95809,72.81691,SAIDHAM (GRANT ROAD)
18.973,72.82766,A.H.ANSARI CHOWK SALVATION ARMY
18.96622,72.82463,SHUKLAJI STREET
18.95803,72.8024,SIMLA HOUSE
18.96978,72.83514,ST.MARY S HIGH SCHOOL (MAZGAON)
18.96388,72.82087,TARDEO BUS STATION RUSI MEHTA CHOWK
18.96162,72.8277,TWO TANKS
18.96176,72.82825,TWO TANKS
18.97706,72.81181,VATSALABAI DESAI CHOWK (HAJI ALI)
18.96996,72.81512,VASANTRAO NAIK CHOWK (TARDEO)
18.97039,72.81502,VASANTRAO NAIK CHOWK
18.95642,72.82819,GULAL WADI YADNIK CHOWK
18.97436,72.8267,ABDUL REHMAN SUFI GRD (ZULA MAIDAN)
18.96403,72.81591,GRANT ROAD STATION (W)
18.96538,72.8136,BHATIA HOSPITAL
18.97973,72.82782,SANT GADGE MAHARAJ CHOWK (SAATRASTA)
18.98212,72.81467,SAIDHAM (GRANT ROAD)
18.9787,72.81504,GOVERNMENT COLONY INDIAN MEDICAL ASSOCIATION CHOWK
18.9628,72.83178,DR.M.IQBAL CHOWK (J J HOSPITAL)
18.98217,72.81439,LALA LAJPATRAI COLLEGE
18.9774,72.82714,BRADBURY MILL
18.9782,72.81204,VATSALABAI DESAI CHOWK (HAJI ALI)
18.96188,72.8157,GRANT ROAD BRIDGE
18.96196,72.81592,GRANT ROAD BRIDGE
18.9591,72.83651,DONGRI JAIL
19.0188,72.86067,WADALA FLY OVER BRIDGE
19.12135,72.82617,ABHISHEK APARTMENTS
19.1208,72.82652,ABHISHEK APARTMENTS
19.07945,72.83447,ARYA SAMAJ MANDIR
19.09936,72.83954,VILE PARLE (W) ASHOKA HALL
19.08476,72.83284,BALKANJI BARI SCHOOL
19.11439,72.827,CHANDAN CINEMA
